id,name
1000515-006,大龍村
1000515-007,朝陽村
1000515-008,談文村
1000515-009,龍昇村
1000516-001,三灣村
1000516-002,內灣村
1000516-003,銅鏡村
1000516-004,頂寮村
1000516-005,北埔村
1000516-006,大河村
1000516-007,大坪村
1000516-008,永和村
1000517-001,百壽村
1000517-002,永興村
1000517-003,新店村
1000517-004,和興村
1000517-005,豐林村
1000517-006,新豐村
1000517-007,竹木村
1000518-001,八卦村
1000518-002,錦水村
1000518-003,清安村
1000518-004,大興村
1000518-005,中興村
1000518-006,梅園村
1000518-007,象鼻村
1000518-008,士林村
1000701-001,文化里
1000701-002,下廍里
1000701-003,興北里
1000701-004,信義里
1000701-005,民生里
1000701-006,陽明里
1000701-007,萬安里
1000701-008,新興里
1000701-009,新華里
1000701-010,龍山里
1000701-011,中山里
1000701-012,中正里
1000701-013,永福里
1000701-014,光復里
1000701-015,光華里
1000701-016,萬壽里
1000701-017,中央里
1000701-018,富貴里
1000701-019,民權里
1000701-020,西興里
1000701-021,西勢里
1000701-022,忠孝里
1000701-023,忠權里
1000701-024,五權里
1000701-025,長樂里
1000701-026,東芳里
1000701-027,南安里
1000701-028,南美里
1000701-029,莿桐里
1000701-030,磚磘里
1000701-031,平和里
1000701-032,桃源里
1000701-033,卦山里
1000701-034,東興里
1000701-035,大同里
1000701-036,永生里
1000701-037,華陽里
1000701-038,華北里
1000701-039,南瑶里
1000701-040,成功里
1000701-041,延和里
1000701-042,南興里
1000701-043,西安里
1000701-044,彰安里
1000701-045,光南里
1000701-046,介壽里
1000701-047,延平里
1000701-048,建寶里
1000701-049,福安里
1000701-050,大竹里
1000701-051,竹中里
1000701-052,安溪里
1000701-053,香山里
1000701-054,牛埔里
1000701-055,福山里
1000701-056,中庄里
1000701-057,三村里
1000701-058,國聖里
1000701-059,寶廍里
1000701-060,茄苳里
1000701-061,茄南里
1000701-062,阿夷里
1000701-063,古夷里
1000701-064,復興里
1000701-065,和調里
1000701-066,石牌里
1000701-067,福田里
1000701-068,竹巷里
1000701-069,田中里
1000701-070,快官里
1000701-071,台鳳里
1000701-072,崙平里
1000701-073,向陽里
1000702-001,大有里
1000702-002,中興里
1000702-003,洛津里
1000702-004,順興里
1000702-005,頂厝里
1000702-006,東崎里
1000702-007,埔崙里
1000702-008,東石里
1000702-009,郭厝里
1000702-010,新宮里
1000702-011,玉順里
1000702-012,景福里
1000702-013,泰興里
1000702-014,長興里
1000702-015,龍山里
1000702-016,興化里
1000702-017,菜園里
1000702-018,街尾里
1000702-019,頂番里
1000702-020,頭崙里
1000702-021,廖厝里
1000702-022,溝墘里
1000702-023,草中里
1000702-024,頭南里
1000702-025,山崙里
1000702-026,海埔里
1000702-027,詔安里
1000702-028,洋厝里
1000702-029,永安里
1000703-001,竹營里
1000703-002,和東里
1000703-003,和南里
1000703-004,和北里
1000703-005,和西里
1000703-006,四張里
1000703-007,頭前里
1000703-008,還社里
1000703-009,面前里
1000703-010,鎮平里
1000703-011,大霞里
1000703-012,源埤里
1000703-013,南佃里
1000703-014,雅溝里
1000703-015,山犁里
1000703-016,嘉犁里
1000703-017,鐵山里
1000703-018,詔安里
1000703-019,柑井里
1000703-020,竹園里
1000703-021,新庄里
1000703-022,犁盛里
1000703-023,中寮里
1000703-024,中圍里
1000703-025,糖友里
1000703-026,塗厝里
1000703-027,地潭里
1000703-028,湖內里
1000703-029,嘉寶里
1000703-030,月眉里
